City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
179,Mount Gambier,AU,64.31,overcast clouds,-37.8333,140.7667,The Commodore
181,Vila Velha,BR,78.94,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
182,Yulara,AU,73.89,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
184,Gondanglegi,ID,75.7,overcast clouds,-7.7479,112.0132,Rumah Mujiatin
185,Kruisfontein,ZA,65.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
186,Fortuna,US,60.19,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
192,Constitucion,CL,63.43,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
195,Broken Hill,AU,78.51,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
196,Gamba,GA,77.54,overcast clouds,-2.65,10.0,
198,Turrialba,CR,78.62,broken clouds,9.9047,-83.6835,Spanish by the River
202,Harper,LR,79.52,broken clouds,4.375,-7.7169,Screensaver
204,Gogrial,SS,70.74,broken clouds,8.5332,28.1004,
206,San Patricio,US,68.16,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
215,El Bagre,CO,76.35,broken clouds,7.5927,-74.8086,Hotel Real
216,Kaitangata,NZ,69.93,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
217,Amapa,BR,71.82,broken clouds,1.0,-52.0,
218,Pandhana,IN,61.5,clear sky,21.7,76.2167,ठा. करण सिंह चौहान
221,Aitape,PG,76.64,light rain,-3.1374,142.3475,
223,Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,Hostel Del Puerto
231,Kuching,MY,75.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
232,Beloha,MG,72.68,overcast clouds,-25.1667,45.05,
240,Grand-Santi,GF,72.97,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
245,Santiago,CL,79.29,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
246,Iacu,BR,75.83,broken clouds,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
249,Christchurch,NZ,72.91,few clouds,-43.5333,172.6333,The George
251,Palauig,PH,77.31,few clouds,15.435,119.9045,Alperi Botique Resort
253,Richards Bay,ZA,71.17,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
255,Cockburn Town,TC,75.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
256,Escarcega,MX,75.88,scattered clouds,18.6089,-90.7454,Hotel Maria Isabel
260,Tessalit,ML,68.5,few clouds,20.1986,1.0114,
262,Bandundu,CD,76.59,overcast clouds,-3.3167,17.3667,Coja Color
265,Sibolga,ID,75.81,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
266,Jember,ID,75.22,overcast clouds,-8.166,113.7032,Hotel 88 Jember
267,Rocha,UY,69.35,clear sky,-34.4833,-54.3333,Hotel Arrarte
271,Viedma,AR,63.18,broken clouds,-40.8135,-62.9967,Hotel Cristal
276,Bonthe,SL,77.81,few clouds,7.5264,-12.505,Bonthe Holiday Village
277,Abonnema,NG,76.14,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
278,Camacha,PT,61.56,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
281,Sao Joao Da Barra,BR,76.55,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
285,Wajir,KE,77.56,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
286,Labuhan,ID,77.88,overcast clouds,-6.8844,112.2051,DoubleFAG
288,Danane,CI,70.39,broken clouds,7.2596,-8.155,Lmd
290,Biltine,TD,62.74,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
301,Gigmoto,PH,77.22,light rain,13.7796,124.39,Cj's Travellers Inn
311,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
312,Sao Felix Do Xingu,BR,69.89,light rain,-6.6447,-51.995,Rio Xingu Camping
317,Caravelas,BR,79.59,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
318,Kuala Lipis,MY,71.38,broken clouds,4.1842,102.0468,Lipis Centrepoint Hotel
319,Tuatapere,NZ,72.82,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
320,Makokou,GA,72.73,overcast clouds,0.5738,12.8642,Hôtel
321,Maningrida,AU,79.97,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
322,Livramento,BR,77.67,broken clouds,-3.0254,-60.1803,Refúgio Samauma
323,Uvira,CD,71.11,heavy intensity rain,-3.4067,29.1458,Hotel Suzana
324,Rafai,CF,68.79,overcast clouds,4.95,23.9167,
325,Tibiao,PH,79.36,broken clouds,11.2915,122.0354,Kasa Raya Inn
328,Bodden Town,KY,69.01,scattered clouds,19.2833,-81.25,Will T Place
329,Jamundi,CO,78.76,overcast clouds,3.2607,-76.535,CASA CAMPESTRE HABITACIONES 365
330,Ratnagiri,IN,69.87,clear sky,16.9833,73.3,Hotel Landmark
333,Libertad,PH,73.4,broken clouds,8.9442,125.5019,Almont City Hotel
336,Kidal,ML,69.06,broken clouds,18.4411,1.4078,
337,Ancud,CL,60.33,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
338,Kapit,MY,72.48,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
341,Tucurui,BR,75.56,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
344,Atambua,ID,75.96,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
350,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
