City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Tabou,CI,4.423,-7.3528,79.45,87,22,6.51,few clouds
79,Hobart,AU,-42.8794,147.3294,74.01,69,20,5.75,few clouds
80,Holland,US,42.7875,-86.1089,26.78,76,100,3.44,overcast clouds
81,Bluff,NZ,-46.6,168.3333,72.81,84,91,4.54,overcast clouds
82,Nampula,MZ,-15.1165,39.2666,68.09,98,6,0.54,clear sky
83,Aksarka,RU,66.5606,67.7975,-12.8,100,88,3.91,overcast clouds
84,Bucerias,MX,20.75,-105.3333,76.98,73,0,10.36,clear sky
85,Calama,CL,-22.4667,-68.9333,68.49,26,0,23.02,clear sky
86,Vao,NC,-22.6667,167.4833,79.11,85,99,8.55,overcast clouds
87,Krasnoselkup,RU,65.7,82.4667,2.3,95,99,8.23,overcast clouds
88,Chara,RU,56.9064,118.2631,-20.16,90,95,1.68,overcast clouds
89,Souillac,MU,-20.5167,57.5167,79.18,94,75,9.22,light rain
90,Norman Wells,CA,65.282,-126.8329,-25.56,68,75,0.0,light snow
91,Rosario,AR,-32.9468,-60.6393,87.08,41,0,1.99,clear sky
92,Severo-Kurilsk,RU,50.6789,156.125,28.11,95,100,9.15,snow
93,Kailua,US,21.4022,-157.7394,79.74,67,13,5.99,few clouds
94,Ferrol,ES,43.4832,-8.2369,51.28,79,0,8.28,clear sky
95,Ekhabi,RU,53.5102,142.9671,9.14,93,100,21.25,light snow
96,Boende,CD,-0.2167,20.8667,79.32,31,100,2.73,overcast clouds
97,Likhoslavl,RU,57.1275,35.464,23.41,96,100,8.57,light snow
98,Russell,US,32.3502,-85.1999,60.4,31,0,3.44,clear sky
99,Severodvinsk,RU,64.5635,39.8302,15.91,96,100,4.61,overcast clouds
100,Haimen,CN,23.1935,116.6142,54.43,67,86,17.85,overcast clouds
101,Saint-Philippe,RE,-21.3585,55.7679,76.59,83,43,10.13,scattered clouds
102,Leshukonskoye,RU,64.8989,45.7622,8.83,95,100,5.59,overcast clouds
103,Lebu,CL,-37.6167,-73.65,59.13,68,0,20.71,clear sky
104,Mora,CM,11.0461,14.1401,63.16,27,54,4.81,broken clouds
105,Goderich,CA,43.7501,-81.7165,22.91,85,82,6.06,broken clouds
